# element	name	version
freedesktop-sdk.bst-components-libp11.bst	libp11	
freedesktop-sdk.bst-components-libpaper.bst	libpaper	
freedesktop-sdk.bst-components-libpipeline.bst	libpipeline	
freedesktop-sdk.bst-components-libpng.bst	libpng	
freedesktop-sdk.bst-components-libppd.bst	libppd	
freedesktop-sdk.bst-components-libproxy.bst	libproxy	
freedesktop-sdk.bst-components-libpsl.bst	libpsl	
freedesktop-sdk.bst-components-libpulse.bst	libpulse	
freedesktop-sdk.bst-components-libqmi.bst	libqmi	
freedesktop-sdk.bst-components-libqrencode.bst	libqrencode	
freedesktop-sdk.bst-components-libqrtr-glib.bst	libqrtr-glib	
freedesktop-sdk.bst-components-libsamplerate.bst	libsamplerate	
freedesktop-sdk.bst-components-libseccomp.bst	libseccomp	
freedesktop-sdk.bst-components-libslirp.bst	libslirp	
freedesktop-sdk.bst-components-libsmbios-maybe.bst	libsmbios-maybe	
freedesktop-sdk.bst-components-libsrtp2.bst	libsrtp2	
freedesktop-sdk.bst-components-libtasn1.bst	libtasn1	
freedesktop-sdk.bst-components-libthai.bst	libthai	
freedesktop-sdk.bst-components-libtheora.bst	libtheora	
freedesktop-sdk.bst-components-libtiff.bst	libtiff	
freedesktop-sdk.bst-components-libtirpc.bst	libtirpc	
freedesktop-sdk.bst-components-libtool.bst	libtool	
freedesktop-sdk.bst-components-libtraceevent.bst	libtraceevent	
freedesktop-sdk.bst-components-libunistring.bst	libunistring	
freedesktop-sdk.bst-components-libunwind.bst	libunwind	
freedesktop-sdk.bst-components-liburcu.bst	liburcu	
freedesktop-sdk.bst-components-liburing.bst	liburing	
freedesktop-sdk.bst-components-libusb.bst	libusb	
freedesktop-sdk.bst-components-libva.bst	libva	
freedesktop-sdk.bst-components-libvdpau.bst	libvdpau	
